humidity,radiation
16.3,0.362
14.9,0.362
14.6,0.336
13.6,0.342
12,0.268
8.7,0.243
15.6,0.316
40.7,0.234
38.5,0.357
29.2,0.387
26.4,0.377
17.6,0.374
18.7,0.395
16.3,0.377
18.1,0.398
13.8,0.398
12.7,0.403
12.9,0.41
37.6,0.4
32.3,0.397
22.8,0.41
10.8,0.389
12.2,0.397
11.4,0.422
10.8,0.425
10.1,0.426
19,0.427
17.3,0.396
16.6,0.374
27.9,0.342
25.3,0.375
40.1,0.305
33.9,0.443
18.9,0.449
12.8,0.449
10.3,0.434
7.3,0.361
12.2,0.173
35.4,0.359
36.9,0.458
21.9,0.446
32.4,0.465
46,0.306
38.1,0.466
20.3,0.468
14.4,0.435
16.8,0.459
21.9,0.475
30.5,0.412
27.5,0.477
12.5,0.485
13.6,0.478
35.4,0.386
33.4,0.459
16.5,0.487
16.2,0.472
16.5,0.482
14.8,0.49
12.5,0.491
19.6,0.492
19,0.493
34.4,0.484
36.9,0.493
22.5,0.494
17.5,0.501
12.1,0.468
10,0.492
11.1,0.506
11.7,0.508
19.5,0.511
14.8,0.517
11.4,0.519
23.3,0.463
35.6,0.491
39.9,0.35
28.9,0.436
17.2,0.445
29.2,0.422
50.5,0.338
42.6,0.463
20.4,0.51
9.6,0.514
9.9,0.486
9.5,0.506
9,0.474
10.1,0.51
12,0.5
12.5,0.515
9,0.523
9.2,0.481
27.4,0.36
41.7,0.404
30.1,0.327
20,0.326
20.8,0.217
22.1,0.328
27.9,0.304
27,0.341
17.6,0.35
15.3,0.335
16.8,0.311
16,0.349
25.7,0.335
39.5,0.344
21.9,0.356
22.2,0.362
13.8,0.356
12,0.344
14.8,0.369
13.8,0.363
17.6,0.366
16.2,0.359
16,0.37
11.4,0.38
15.8,0.327
24.1,0.385
15.8,0.371
18.5,0.386
15.9,0.389
32.3,0.332
37.7,0.273
23.8,0.402
11.7,0.317
23.8,0.279
28.2,0.408
20.6,0.412
16.1,0.415
16.4,0.418
14.9,0.335
14.4,0.432
10.9,0.437
11.5,0.393
10.8,0.427
29.6,0.409
41.3,0.423
42.3,0.416
23.2,0.406
9.9,0.448
10.4,0.443
8.9,0.45
9.2,0.429
12.3,0.454
12.1,0.493
7.9,0.465
31.1,0.449
26.3,0.451
12.2,0.457
15.6,0.421
18.7,0.455
15.1,0.441
23.8,0.382
51.4,0.312
27.7,0.475
10.4,0.495
9.9,0.488
14,0.478
23.1,0.48
14.8,0.48
12.7,0.408
12.1,0.479
20.5,0.458
25.9,0.465
30,0.437
24.2,0.479
23.1,0.477
16.9,0.479
10.4,0.445
12.1,0.469
20.4,0.357
18.2,0.487
13.4,0.466
11.9,0.505
12.7,0.502
28.8,0.49
27.2,0.469
20.8,0.492
20.7,0.424
9.2,0.453
13,0.495
13.2,0.502
17.7,0.502
30.2,0.486
36.7,0.425
38.4,0.393
34.3,0.352
22.2,0.356
17.8,0.361
8.6,0.369
16,0.315
10.3,0.299
9.4,0.333
12.1,0.278
11.5,0.37
16.4,0.302
45.2,0.196
30.8,0.338
24.8,0.371
24.6,0.353
22.2,0.351
20.9,0.323
20,0.325
25.4,0.395
16.3,0.377
12,0.411
14.8,0.396
16.7,0.381
15.6,0.359
27.3,0.305
27.5,0.351
30.6,0.092
27.5,0.386
26.4,0.422
12.6,0.429
13.1,0.433
11.1,0.405
9.5,0.381
9,0.443
12.3,0.45
16.1,0.441
14,0.419
12.7,0.362
17.7,0.373
18.3,0.448
13.9,0.376
27.1,0.454
15.1,0.454
11.5,0.437
10,0.441
10.8,0.477
8.2,0.478
6.9,0.424
6.8,0.447
10,0.47
16.9,0.423
22.3,0.476
21.3,0.475
24.5,0.301
18.6,0.479
12.5,0.477
33.7,0.419
26,0.446
20.7,0.242
17.2,0.453
14.8,0.488
14,0.455
12.8,0.306
12.5,0.434
14.8,0.51
12.9,0.509
14.4,0.508
12.4,0.509
10.8,0.465
9.4,0.502
7.2,0.507
7.9,0.514
9.2,0.512
12.5,0.463
15.5,0.458
14.5,0.516
9.6,0.522
9.6,0.52
7,0.523
6,0.523
6.7,0.532
22.2,0.502
39.5,0.438
26,0.502
12.7,0.52
19.9,0.523
8.6,0.535
7.8,0.423
8.3,0.526
7.7,0.538
7.9,0.533
7.8,0.53
7.3,0.535
18.1,0.347
18.4,0.287
27.6,0.355
42.2,0.34
31.3,0.355
22,0.361
16.8,0.24
27.6,0.108
27.4,0.304
37.6,0.145
44.2,0.126
57.2,0.225
46.2,0.351
21.6,0.394
29.2,0.313
49.1,0.161
32.8,0.393
29.5,0.294
31.8,0.398
35.4,0.385
48.1,0.36
31.8,0.375
19.6,0.393
15.2,0.422
14.6,0.408
32,0.363
35.2,0.325
12.5,0.417
11.3,0.436
20,0.353
29.4,0.425
29.7,0.402
15.7,0.432
15.4,0.434
16.2,0.378
17,0.356
21.1,0.427
22.7,0.455
14.1,0.458
9.5,0.456
8.2,0.36
13.2,0.459
21.4,0.21
37.8,0.419
28.3,0.47
12.2,0.466
13.7,0.449
39.6,0.372
32.6,0.477
16.3,0.484
11.1,0.461
15,0.486
30,0.316
43,0.416
37.8,0.48
20.9,0.489
18.5,0.44
12.8,0.489
10.1,0.497
9.4,0.448
16.4,0.497
14.2,0.508
9.8,0.457
9.4,0.507
9.4,0.507
9,0.51
10.5,0.495
16.1,0.385
25.3,0.459
29.1,0.462
54.9,0.346
46.7,0.442
49.9,0.247
43.4,0.417
27.4,0.513
17.8,0.506
17.1,0.484
13.1,0.524
14,0.523
10.3,0.455
18.1,0.299
17.7,0.521
9.4,0.514
13.9,0.516
13.9,0.527
11.5,0.507
10.9,0.4
14.1,0.52
15.8,0.529
10,0.533
27.1,0.501
42.7,0.48
25.5,0.184
28.5,0.202
68.1,0.099
64.7,0.295
54.4,0.369
36.3,0.366
32.4,0.356
70.7,0.141
55.9,0.366
48.9,0.263
47,0.299
61.8,0.151
61.7,0.29
39,0.395
47.6,0.255
35.2,0.403
42.1,0.129
69.6,0.119
39.6,0.382
40.1,0.4
36.3,0.365
22.8,0.404
20.9,0.42
22.9,0.431
20.9,0.422
19.1,0.276
28.1,0.283
25,0.44
17.2,0.321
17.1,0.44
18.6,0.403
14.2,0.369
17.1,0.453
19.9,0.309
23.6,0.435
19.2,0.454
21.2,0.294
24.6,0.459
25.2,0.442
21.6,0.422
16.8,0.471
17.2,0.461
36.7,0.467
25.6,0.472
26.5,0.476
22.4,0.48
13.9,0.475
15.6,0.384
15.5,0.485
17.1,0.489
14.7,0.483
13.7,0.498
18.2,0.491
18.3,0.496
15.1,0.499
17.8,0.497
16.1,0.5
12.3,0.457
11.7,0.505
17.8,0.497
16.3,0.466
12.3,0.446
14.9,0.504
12.5,0.51
11,0.523
20.4,0.51
17.7,0.511
11.2,0.523
12.1,0.481
14.7,0.495
25.9,0.384
31.1,0.421
15.3,0.525
13.7,0.524
13.4,0.45
11.6,0.526
11.9,0.531
10.8,0.533
10.6,0.529
10.6,0.516
10.8,0.534
8.7,0.543
7.5,0.544
9.3,0.541
12.2,0.52
17.4,0.533
28,0.529
11.3,0.538
13.9,0.515
19.4,0.525
19.2,0.527
16.7,0.534
25,0.354
29.6,0.366
16.7,0.35
20.2,0.358
27.4,0.374
35.4,0.368
26.4,0.362
20.1,0.318
16.2,0.286
17.1,0.383
9.4,0.384
8.6,0.337
21.5,0.372
31,0.392
20.3,0.398
15.7,0.294
24.4,0.408
20.9,0.402
16.7,0.403
14.9,0.406
14.5,0.267
13.4,0.391
11.7,0.413
50.6,0.331
40.6,0.416
18.6,0.429
26.5,0.39
25.8,0.431
15.9,0.413
8.5,0.44
13.7,0.436
18.4,0.391
19,0.417
23.8,0.447
28.3,0.446
21.8,0.412
7.9,0.393
7.7,0.471
7,0.427
10.4,0.468
10.5,0.471
8,0.421
11.6,0.444
22.8,0.466
24.5,0.385
13,0.265
11.9,0.26
36,0.4
40.4,0.454
32.3,0.481
21.9,0.492
26.3,0.485
19,0.42
14.2,0.491
13.5,0.496
7.4,0.493
6.9,0.436
16.8,0.405
32.4,0.352
60.1,0.137
44.8,0.328
34.5,0.507
10.3,0.458
11.8,0.517
28.8,0.512
18.3,0.474
16.9,0.49
26.3,0.478
14.3,0.525
7.5,0.53
10.5,0.502
11.9,0.53
41.1,0.489
38.7,0.501
28.8,0.463
24.4,0.44
9.9,0.541
9.8,0.524
14.4,0.491
17.5,0.456
12.3,0.533
12.5,0.376
13.2,0.526
12.8,0.537
8.9,0.514
6.2,0.542
7.3,0.448
7.9,0.372
6.6,0.549
26.2,0.54
31.6,0.513
31.1,0.536
