humidity,wind
16.3,5
14.9,8.2
14.6,5.5
13.6,4.1
12,4
8.7,8.8
15.6,9.1
40.7,5.6
38.5,4.7
29.2,4.7
26.4,4.4
17.6,12
18.7,10.1
16.3,9.1
18.1,6.6
13.8,4.5
12.7,5.4
12.9,6.8
37.6,12.4
32.3,9.3
22.8,5.9
10.8,10.4
12.2,13.3
11.4,3.9
10.8,7.9
10.1,8.3
19,6.3
17.3,7
16.6,9.6
27.9,11.1
25.3,7.5
40.1,6.5
33.9,5.8
18.9,3.6
12.8,3.5
10.3,7
7.3,5.6
12.2,4.7
35.4,7.3
36.9,4.8
21.9,10.2
32.4,8.8
46,7.4
38.1,4.2
20.3,4.2
14.4,9.9
16.8,11.6
21.9,4.6
30.5,8.2
27.5,4.4
12.5,5.9
13.6,6.3
35.4,11
33.4,7
16.5,9.8
16.2,10.7
16.5,12.3
14.8,6.6
12.5,8.3
19.6,11.2
19,5.9
34.4,12.5
36.9,8.8
22.5,7.3
17.5,8
12.1,9.9
10,8.8
11.1,8.1
11.7,9.6
19.5,10.5
14.8,7.7
11.4,5.8
23.3,8
35.6,7.6
39.9,10.1
28.9,8.4
17.2,9.6
29.2,10.5
50.5,11.8
42.6,4.7
20.4,5.7
9.6,6.4
9.9,8.6
9.5,7.9
9,7.9
10.1,8.2
12,10.1
12.5,6.4
9,4.3
9.2,5.9
27.4,6.3
41.7,6.1
30.1,5.2
20,6.5
20.8,10.5
22.1,5.7
27.9,7.3
27,10.8
17.6,4.7
15.3,3.7
16.8,3.4
16,3.8
25.7,7
39.5,9.5
21.9,6.9
22.2,4.9
13.8,4.8
12,7
14.8,5.1
13.8,3.5
17.6,5
16.2,5.1
16,4.9
11.4,5.6
15.8,13
24.1,11.6
15.8,6.5
18.5,9.2
15.9,7.1
32.3,10
37.7,7.6
23.8,6.8
11.7,12.9
23.8,6.1
28.2,8
20.6,9.6
16.1,12.6
16.4,6
14.9,4.6
14.4,5.1
10.9,8.7
11.5,9.8
10.8,4.3
29.6,9.2
41.3,9.5
42.3,6.6
23.2,5.9
9.9,6.5
10.4,5.9
8.9,6.2
9.2,6.3
12.3,8.8
12.1,6.8
7.9,7.9
31.1,12.1
26.3,9.8
12.2,11
15.6,15.2
18.7,9.5
15.1,11.7
23.8,12.2
51.4,8.2
27.7,7.1
10.4,5.6
9.9,6.6
14,7.2
23.1,10.6
14.8,6.8
12.7,8.7
12.1,8.2
20.5,8.8
25.9,10.9
30,10.6
24.2,6.7
23.1,7.4
16.9,6.6
10.4,7.9
12.1,8.8
20.4,12.3
18.2,10.3
13.4,10.3
11.9,8.2
12.7,7.4
28.8,7.9
27.2,7.2
20.8,7.8
20.7,7.7
9.2,10
13,9.8
13.2,8.8
17.7,9.2
30.2,10.8
36.7,8.3
38.4,7.1
34.3,6.7
22.2,5.1
17.8,5.2
8.6,8.6
16,4.6
10.3,5.5
9.4,6.8
12.1,4.1
11.5,7.5
16.4,10.6
45.2,11.5
30.8,8.8
24.8,8.2
24.6,9.2
22.2,11.6
20.9,6.4
20,6.9
25.4,13
16.3,6.7
12,4.6
14.8,4.5
16.7,4.9
15.6,8.8
27.3,9
27.5,8.4
30.6,7
27.5,6.9
26.4,8.1
12.6,5.6
13.1,4.2
11.1,6
9.5,7
9,9.3
12.3,8.2
16.1,8.8
14,5.2
12.7,8.2
17.7,7.7
18.3,13.2
13.9,6.8
27.1,8.4
15.1,8.1
11.5,11.8
10,15.6
10.8,6.4
8.2,3.8
6.9,7
6.8,11
10,6.5
16.9,12.9
22.3,12.4
21.3,7.4
24.5,6.4
18.6,4.2
12.5,4.1
33.7,11
26,8
20.7,10.8
17.2,6.3
14.8,7.4
14,8.5
12.8,6.5
12.5,10.9
14.8,6.5
12.9,5.1
14.4,5.6
12.4,6.3
10.8,5.1
9.4,6.8
7.2,5.4
7.9,6.1
9.2,10.2
12.5,8.6
15.5,6.9
14.5,5
9.6,5.7
9.6,4.9
7,7.6
6,8.1
6.7,5.4
22.2,9.7
39.5,10.3
26,6.2
12.7,6.9
19.9,5
8.6,5.3
7.8,5.8
8.3,6.9
7.7,6.7
7.9,6.1
7.8,7.5
7.3,5.2
18.1,7
18.4,8.8
27.6,7.7
42.2,11.2
31.3,10.6
22,7.6
16.8,8.9
27.6,9.6
27.4,7.6
37.6,5.3
44.2,8
57.2,12.2
46.2,15.9
21.6,9.9
29.2,14.2
49.1,9.8
32.8,7.8
29.5,8.3
31.8,4.2
35.4,10.4
48.1,9.9
31.8,7.8
19.6,6
15.2,8.1
14.6,5.2
32,9.7
35.2,5.9
12.5,7.5
11.3,11.7
20,12.1
29.4,13.5
29.7,5.6
15.7,7
15.4,11.2
16.2,5
17,5.6
21.1,6.9
22.7,7.5
14.1,5.2
9.5,9.4
8.2,17.2
13.2,11.7
21.4,5.2
37.8,7.3
28.3,5.8
12.2,5.1
13.7,8.8
39.6,13.3
32.6,6.3
16.3,6.3
11.1,8.7
15,8.8
30,6.9
43,8.9
37.8,6.7
20.9,5.7
18.5,8
12.8,6.5
10.1,6.7
9.4,6.5
16.4,8.8
14.2,7
9.8,5.4
9.4,6.1
9.4,5
9,5.7
10.5,7.9
16.1,9.3
25.3,10.9
29.1,7.4
54.9,12.9
46.7,6.3
49.9,6.8
43.4,4.7
27.4,4.1
17.8,5.9
17.1,7.8
13.1,10.7
14,10.4
10.3,5.4
18.1,13
17.7,11.2
9.4,9.5
13.9,8.2
13.9,4.5
11.5,6.2
10.9,9.6
14.1,9.4
15.8,8.5
10,6.3
27.1,7.7
42.7,9
25.5,7.9
28.5,5.1
68.1,7.9
64.7,6.3
54.4,5.2
36.3,10.7
32.4,6.6
70.7,6.3
55.9,4.6
48.9,4.5
47,4.6
61.8,5.5
61.7,8
39,4.3
47.6,4.6
35.2,4
42.1,7.2
69.6,6.6
39.6,9.7
40.1,7.9
36.3,9.2
22.8,5.2
20.9,8
22.9,7
20.9,6.3
19.1,8.9
28.1,15.3
25,7.3
17.2,4.7
17.1,8.8
18.6,3.7
14.2,8.1
17.1,9.6
19.9,5.4
23.6,6.8
19.2,5.6
21.2,6.9
24.6,6.7
25.2,5.4
21.6,7.1
16.8,5.3
17.2,8.7
36.7,13.1
25.6,10.4
26.5,5.5
22.4,6.5
13.9,7.2
15.6,5.6
15.5,9
17.1,9.2
14.7,7.2
13.7,8.9
18.2,8.8
18.3,8.7
15.1,7.3
17.8,7.3
16.1,6.1
12.3,7.2
11.7,7.7
17.8,10.5
16.3,5.4
12.3,7.4
14.9,6.9
12.5,7.3
11,8.3
20.4,10.2
17.7,6.3
11.2,8.8
12.1,12.9
14.7,5.9
25.9,7
31.1,5.7
15.3,7.1
13.7,8.4
13.4,7.3
11.6,7.3
11.9,7.2
10.8,5.4
10.6,5
10.6,9.8
10.8,9
8.7,8.4
7.5,5.9
9.3,8.4
12.2,9
17.4,8.4
28,6.4
11.3,5.7
13.9,7.5
19.4,9.1
19.2,8.9
16.7,9
25,9.3
29.6,5.2
16.7,4.3
20.2,12.5
27.4,7.3
35.4,9.7
26.4,5.1
20.1,5.1
16.2,7.2
17.1,9.7
9.4,5.7
8.6,7.5
21.5,13.8
31,13.8
20.3,7.6
15.7,11.9
24.4,9.1
20.9,9.1
16.7,9.4
14.9,6.5
14.5,6.8
13.4,12.1
11.7,7.8
50.6,10.6
40.6,7
18.6,8.1
26.5,6.6
25.8,4.7
15.9,6.4
8.5,9.5
13.7,10
18.4,12.4
19,7.5
23.8,7.4
28.3,5.6
21.8,7.3
7.9,11.3
7.7,7.1
7,9.6
10.4,8.5
10.5,8.3
8,6.3
11.6,6
22.8,11.8
24.5,7.3
13,9.2
11.9,6.3
36,14.4
40.4,12
32.3,5.3
21.9,7.8
26.3,13.2
19,8.8
14.2,10.3
13.5,5.4
7.4,6.7
6.9,9
16.8,10.5
32.4,8.5
60.1,6.7
44.8,6.5
34.5,4.9
10.3,11.3
11.8,10.3
28.8,6.4
18.3,4.8
16.9,8.1
26.3,6.3
14.3,9.2
7.5,8.3
10.5,9.1
11.9,8.2
41.1,11
38.7,9.6
28.8,8.1
24.4,7.4
9.9,8
9.8,9.6
14.4,7.6
17.5,5.5
12.3,6.2
12.5,6.4
13.2,6.9
12.8,6.3
8.9,5.2
6.2,5.5
7.3,5.1
7.9,4.9
6.6,5.9
26.2,7.4
31.6,7.6
31.1,7.9
