nitrogen,pm25
15.9,8.5
15.8,10.1
18.9,9.9
31.8,13.4
26.1,12.8
3.2,7.8
7.4,10
7.4,12
11.3,8.5
18.1,8.5
22.8,11.2
8,13.4
4.7,7.9
6.9,9.3
9.2,10.7
18.4,10.6
13,8.8
8.7,8.8
1.7,9.8
7.7,7
17.5,9.3
6.4,18.1
5.1,14.5
20.8,8.8
10.4,7.8
5.1,9.1
8.2,9.9
12.1,11.4
5.5,22.5
4.6,10.3
8.8,8.5
6.2,6.5
9,6
14.6,8.4
24.9,12
16.6,10.7
17,11.5
28.8,12
6.4,7.5
12.4,7.1
3,10.1
2.9,3.5
6.2,6
13.4,5.4
22.6,8.1
4.3,14.5
2.1,7
9.2,5.6
7.2,7.3
14.6,6.7
17.1,6.9
13.7,7.6
6.1,9.5
6.5,6.8
3.1,8.6
4.3,18.8
5.6,10.3
12.4,8.6
6.7,10.9
5.9,7.7
8.2,6.4
1.4,9.2
6,6.4
7,7.6
8.3,5.6
8.4,6.3
9.1,16.3
8.5,9.3
4.5,8
6.3,7.7
9.8,7
14.3,7.6
11.4,11.1
6.2,11.7
4.6,8.7
1.2,7.9
1.5,15.1
3.3,7.4
1,5
10.2,6.8
14.7,8
5,6.6
4.3,8.9
7.2,9.6
8.5,11.6
11.3,11.5
16.2,10.5
23.3,12.1
6,10.4
4.5,9.3
9,6.6
14.3,5.8
11.1,3.9
6.6,4.7
16.8,9.4
6.3,9.2
4.1,7
17.2,7.4
26,15.8
28.6,12.8
24.3,10.2
15.1,10.5
7.5,7.6
16.8,7.8
12.7,7.1
16.4,7.4
11.9,6.7
14.2,7.3
23.4,12.3
8.8,8.8
12.4,9.2
16.1,8.4
16,8.4
6.4,32.7
2.2,6.8
8.2,7.2
8.3,7
9.1,6
7.9,8.6
5.2,4.2
11.7,4.6
3.9,43.2
6.9,15.2
4,7.2
5,8.5
4.9,19.2
15.2,13.4
26.7,17.6
21.4,17.1
6.9,10.2
4.5,14.2
12.2,14.1
4.7,11.1
4.3,9.5
11,6.2
10.2,6.3
12,5.7
9.4,6.3
11.7,6.5
15,7.2
10,6.8
12.7,6.3
11.8,5.1
3.5,5.9
5.2,4.3
2.9,9
1.8,21.3
5.7,4.5
4.3,9.4
2,10.1
3.6,4.6
5.2,3.3
11.9,4.8
15.4,4.9
10.4,5
4.5,4.1
12.1,5.2
6.3,7.2
4.2,4.6
4.5,6.2
3.8,5.8
5.1,4.8
9.8,5.8
7.5,4
9.1,6
5,5.1
6,5.3
3.9,18.4
5.4,5.1
5.1,5.9
8.4,4.2
3.1,4.6
2.5,9
8.5,7
9.8,7.4
8.6,6
4.6,8.5
3.9,9
7.7,7.4
1.6,5.8
2.5,8.2
6.9,13.4
10.3,13.3
17.2,5.7
26.9,10.5
23.7,11.1
7.3,6.1
15,8.2
10.1,4.6
13.9,7.7
23.8,9.5
11.2,6.4
4.4,5.7
3.2,6.3
9.3,5.9
13.1,7.2
10.7,9.4
4.4,13.7
11.8,6.9
7.2,6.1
2,8.7
9.4,4.7
16.6,6.4
23.8,10.5
16.2,7.6
8.6,7.9
7.6,9.5
3.1,8.9
7.6,6.9
7.5,5.8
6.2,5.7
11.9,7.3
17,8.1
12.4,6.4
6.3,6.2
6.4,6.7
10.6,9.6
14.8,12
20.5,8.1
9.3,7.1
6.8,8.1
2.9,10.1
6.3,8.9
13.8,13.5
14.6,9.4
4.8,17.5
3.9,19.2
9.5,5.4
18.9,8.3
14.1,9.9
6.9,14.3
8.2,11.1
4.4,13.9
6.6,21.6
5.4,6.5
10.1,9
19.8,9.3
24,11
4.6,10
9.2,8.9
7.2,9.7
9.1,11.4
3.1,7.1
3.8,7.7
4.8,11.6
3.7,20.6
9.4,7
11.1,6.5
9,6.2
6.2,6.1
17.4,9.5
10.9,7.1
11.4,7.1
12.3,7.7
3.5,7.7
3.1,7.9
2.3,6.6
9.9,7.5
11,6.6
11.4,6.8
10.8,9.7
9.9,16.6
12,7.6
1.7,12.7
5.6,8.2
8.4,7.6
6.1,8
9.8,6.8
14.7,7.3
15.2,8.9
7.6,5.8
7.6,6.7
9.9,6.7
7.7,8.2
11.5,8.1
11.4,6.2
8.2,7.8
7.4,6.6
7.4,7
9.9,5.6
12,6.3
8.2,8.3
6.4,25.2
7.9,6.5
9.9,8.1
11.6,6.7
2.4,11.4
1.2,11.7
2.5,6.2
2.6,7.7
2.3,5.6
3.2,5.3
5.4,5.3
17.6,8.8
10.8,11
6.6,11.7
7,7.5
11.4,6.2
6.9,7
13.6,10.6
4.5,13.1
11.7,13.4
10.6,11.1
5.5,12.4
3.4,11
2.1,9.9
14.2,9.8
19.9,10.7
4.1,8.2
16,7.2
17.9,9.5
7.8,5.3
9.1,5.4
10.3,5.4
6.9,6.3
2.3,34.6
5,6.4
14.6,8.1
7.9,6.6
9.7,5.7
18.8,10.6
4.6,6.1
2.5,10.8
7.8,7.8
12.6,5.8
6.6,9.6
1.8,7.1
6.5,8
4.3,4.7
6.6,4.4
11.2,6.1
6.1,7.6
10.3,7.8
5.6,6.5
7.5,6
5.5,7.7
8.2,6.7
12.9,4.7
10.4,5.8
14.6,6.5
8.6,6.1
8,5.9
7.5,7.6
5,5.3
6.3,6.6
3.9,6.7
5.5,6.5
1.4,5.3
6.9,6
14.8,8.7
10.2,7.4
4.4,7.8
3.5,11.4
5.9,6.4
6.3,6.6
3.8,22.2
7.4,10.1
9.7,17.5
16.6,11
19.2,7.9
13.6,5.8
3.8,22.6
3.4,11.8
6.9,8.8
6.7,3.6
12.9,4.9
7.1,3.5
8.4,3.8
16.4,9.8
4.9,3.2
11.3,4.9
8.3,2.3
14.1,5
17.7,5.4
20.8,4.5
7.9,2.5
10.3,3.7
13.8,6.6
16.4,8
18,5.9
16,5.3
16.9,5.5
9.5,4.3
15.2,5.1
8.8,4.3
16.3,5.7
15.2,5.5
13.1,3.6
14.7,3.6
11.5,5.4
5.1,13.9
10.7,5.5
13,7
10.3,5.2
20,7.3
10.4,5.7
6.4,3.4
12.4,4.4
8.7,4.8
8.4,4.8
8.5,4
9.2,3.6
9.2,4.1
8.5,3.3
13,4.3
8.5,3.5
3.2,6
6,5.1
8.4,3.6
9.3,5.4
8,4.6
12.5,5.4
6.9,5.4
7.7,4.2
8.9,5.1
8.6,5.4
8.6,4.8
9.3,4.8
10,5.1
7.8,7.1
7.8,5.7
10.6,5.8
9.1,5
4.8,8.1
13.4,8.1
11.8,7.3
8.9,7.1
4.9,7.3
8,5.4
5,8.9
12,6.6
7.8,4.8
3.8,8.6
8.5,8.2
5.2,7.6
7.9,5.9
7.2,4.8
5.8,4.8
7.5,4.6
9.9,4.5
6.7,4.9
7.7,5.5
15.7,8.2
5.9,5.8
7.9,4.6
8.7,4.3
11.3,5.3
6.8,4.4
4.1,4.9
5.6,5.8
9.7,6.4
14,8.1
8.7,7.7
4.5,4.6
3.8,3.9
2.6,4.6
5.4,8.6
17,9.4
30.6,16.8
9.5,6.4
7.2,7
19,10.5
25.9,11.1
26.3,12.3
4.3,7.4
7.3,7.5
5.2,7.2
6.3,9.8
8,8.5
6.8,8.3
4.8,6.4
5.5,8.8
6.3,7.4
13.3,9.7
10.9,8.2
7.2,7.7
12,14.1
5.2,6.5
10.9,6.6
14.1,8.8
17.9,10.5
15.1,9
11.5,7.1
7.3,11.3
3.9,10.1
3.8,9.2
